algorithm, max_depth, n_estimators, learning_rate, accuracy 
SAMME.R , 1 , 5 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 6 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 7 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 8 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 9 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 10 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 11 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 12 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 13 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 14 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 15 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 16 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 17 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 18 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 19 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 20 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 21 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 22 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 23 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 24 , 0.001 , 0.7906976744186046
SAMME.R , 1 , 1 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 2 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 3 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 4 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 5 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 6 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 7 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 8 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 9 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 10 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 11 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 12 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 13 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 14 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 15 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 16 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 17 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 18 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 19 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 20 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 21 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 22 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 23 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 24 , 0.002 , 0.7906976744186046
SAMME.R , 1 , 1 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 2 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 3 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 4 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 5 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 6 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 7 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 8 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 9 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 10 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 11 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 12 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 13 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 14 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 15 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 16 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 17 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 18 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 19 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 20 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 21 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 22 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 23 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 24 , 0.005 , 0.7906976744186046
SAMME.R , 1 , 1 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 2 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 3 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 4 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 5 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 6 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 7 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 8 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 9 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 10 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 11 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 12 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 13 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 14 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 15 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 16 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 17 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 18 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 19 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 20 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 21 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 22 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 23 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 24 , 0.1 , 0.7906976744186046
SAMME.R , 1 , 1 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 2 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 3 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 4 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 5 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 6 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 7 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 8 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 9 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 10 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 11 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 12 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 13 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 14 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 15 , 0.25 , 0.7906976744186046
SAMME.R , 1 , 16 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 17 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 18 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 19 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 20 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 21 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 22 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 23 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 24 , 0.25 , 0.7973421926910299
SAMME.R , 1 , 1 , 0.5 , 0.7906976744186046
SAMME.R , 1 , 2 , 0.5 , 0.7906976744186046
SAMME.R , 1 , 3 , 0.5 , 0.7906976744186046
SAMME.R , 1 , 4 , 0.5 , 0.7906976744186046
SAMME.R , 1 , 5 , 0.5 , 0.7906976744186046
SAMME.R , 1 , 6 , 0.5 , 0.7906976744186046
SAMME.R , 1 , 7 , 0.5 , 0.7906976744186046
SAMME.R , 1 , 8 , 0.5 , 0.7906976744186046
SAMME.R , 1 , 9 , 0.5 , 0.7973421926910299
SAMME.R , 1 , 10 , 0.5 , 0.7973421926910299
SAMME.R , 1 , 11 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 12 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 13 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 14 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 15 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 16 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 17 , 0.5 , 0.8006644518272426
SAMME.R , 1 , 18 , 0.5 , 0.8006644518272426
SAMME.R , 1 , 19 , 0.5 , 0.8006644518272426
SAMME.R , 1 , 20 , 0.5 , 0.8006644518272426
SAMME.R , 1 , 21 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 22 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 23 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 24 , 0.5 , 0.8039867109634552
SAMME.R , 1 , 1 , 1 , 0.7906976744186046
SAMME.R , 1 , 2 , 1 , 0.7906976744186046
SAMME.R , 1 , 3 , 1 , 0.7906976744186046
SAMME.R , 1 , 4 , 1 , 0.8106312292358804
SAMME.R , 1 , 5 , 1 , 0.8039867109634552
SAMME.R , 1 , 6 , 1 , 0.8239202657807309
*
SAMME.R , 1 , 7 , 1 , 0.8106312292358804
SAMME.R , 1 , 8 , 1 , 0.8106312292358804
SAMME.R , 1 , 9 , 1 , 0.8305647840531561
*
SAMME.R , 1 , 10 , 1 , 0.8239202657807309
SAMME.R , 1 , 11 , 1 , 0.8305647840531561
SAMME.R , 1 , 12 , 1 , 0.8305647840531561
SAMME.R , 1 , 13 , 1 , 0.8239202657807309
SAMME.R , 1 , 14 , 1 , 0.8205980066445183
SAMME.R , 1 , 15 , 1 , 0.8205980066445183
SAMME.R , 1 , 16 , 1 , 0.8205980066445183
SAMME.R , 1 , 17 , 1 , 0.8172757475083057
SAMME.R , 1 , 18 , 1 , 0.8172757475083057
SAMME.R , 1 , 19 , 1 , 0.8172757475083057
SAMME.R , 1 , 20 , 1 , 0.8172757475083057
SAMME.R , 1 , 21 , 1 , 0.8172757475083057
SAMME.R , 1 , 22 , 1 , 0.8172757475083057
SAMME.R , 1 , 23 , 1 , 0.8172757475083057
SAMME.R , 1 , 24 , 1 , 0.8172757475083057
SAMME.R , 1 , 1 , 1.25 , 0.7906976744186046
SAMME.R , 1 , 2 , 1.25 , 0.7906976744186046
SAMME.R , 1 , 3 , 1.25 , 0.7906976744186046
SAMME.R , 1 , 4 , 1.25 , 0.7906976744186046
SAMME.R , 1 , 5 , 1.25 , 0.7973421926910299
SAMME.R , 1 , 6 , 1.25 , 0.7973421926910299
SAMME.R , 1 , 7 , 1.25 , 0.813953488372093
SAMME.R , 1 , 8 , 1.25 , 0.8106312292358804
SAMME.R , 1 , 9 , 1.25 , 0.7973421926910299
SAMME.R , 1 , 10 , 1.25 , 0.8305647840531561
SAMME.R , 1 , 11 , 1.25 , 0.8039867109634552
SAMME.R , 1 , 12 , 1.25 , 0.8039867109634552
SAMME.R , 1 , 13 , 1.25 , 0.8039867109634552
SAMME.R , 1 , 14 , 1.25 , 0.8205980066445183
SAMME.R , 1 , 15 , 1.25 , 0.8006644518272426
SAMME.R , 1 , 16 , 1.25 , 0.813953488372093
SAMME.R , 1 , 17 , 1.25 , 0.7940199335548173
SAMME.R , 1 , 18 , 1.25 , 0.813953488372093
SAMME.R , 1 , 19 , 1.25 , 0.8106312292358804
SAMME.R , 1 , 20 , 1.25 , 0.8106312292358804
SAMME.R , 1 , 21 , 1.25 , 0.8106312292358804
SAMME.R , 1 , 22 , 1.25 , 0.7940199335548173
SAMME.R , 1 , 23 , 1.25 , 0.8106312292358804
SAMME.R , 1 , 24 , 1.25 , 0.8073089700996677
SAMME.R , 1 , 1 , 1.5 , 0.7906976744186046
SAMME.R , 1 , 2 , 1.5 , 0.770764119601329
SAMME.R , 1 , 3 , 1.5 , 0.7906976744186046
SAMME.R , 1 , 4 , 1.5 , 0.7906976744186046
SAMME.R , 1 , 5 , 1.5 , 0.7906976744186046
SAMME.R , 1 , 6 , 1.5 , 0.7840531561461794
SAMME.R , 1 , 7 , 1.5 , 0.7973421926910299
SAMME.R , 1 , 8 , 1.5 , 0.8039867109634552
SAMME.R , 1 , 9 , 1.5 , 0.8039867109634552
SAMME.R , 1 , 10 , 1.5 , 0.7940199335548173
SAMME.R , 1 , 11 , 1.5 , 0.7940199335548173
SAMME.R , 1 , 12 , 1.5 , 0.7940199335548173
SAMME.R , 1 , 13 , 1.5 , 0.7906976744186046
SAMME.R , 1 , 14 , 1.5 , 0.7906976744186046
SAMME.R , 1 , 15 , 1.5 , 0.7774086378737541
SAMME.R , 1 , 16 , 1.5 , 0.7873754152823921
SAMME.R , 1 , 17 , 1.5 , 0.770764119601329
SAMME.R , 1 , 18 , 1.5 , 0.7873754152823921
SAMME.R , 1 , 19 , 1.5 , 0.770764119601329
SAMME.R , 1 , 20 , 1.5 , 0.7973421926910299
SAMME.R , 1 , 21 , 1.5 , 0.7840531561461794
SAMME.R , 1 , 22 , 1.5 , 0.7873754152823921
SAMME.R , 1 , 23 , 1.5 , 0.7840531561461794
SAMME.R , 1 , 24 , 1.5 , 0.7873754152823921
SAMME.R , 1 , 1 , 2 , 0.7906976744186046
SAMME.R , 1 , 2 , 2 , 0.30564784053156147
SAMME.R , 1 , 3 , 2 , 0.7906976744186046
SAMME.R , 1 , 4 , 2 , 0.30564784053156147
SAMME.R , 1 , 5 , 2 , 0.7906976744186046
SAMME.R , 1 , 6 , 2 , 0.7807308970099668
SAMME.R , 1 , 7 , 2 , 0.7906976744186046
SAMME.R , 1 , 8 , 2 , 0.7807308970099668
SAMME.R , 1 , 9 , 2 , 0.7906976744186046
SAMME.R , 1 , 10 , 2 , 0.7807308970099668
SAMME.R , 1 , 11 , 2 , 0.7906976744186046
SAMME.R , 1 , 12 , 2 , 0.7807308970099668
SAMME.R , 1 , 13 , 2 , 0.7906976744186046
SAMME.R , 1 , 14 , 2 , 0.7807308970099668
SAMME.R , 1 , 15 , 2 , 0.7906976744186046
SAMME.R , 1 , 16 , 2 , 0.7807308970099668
SAMME.R , 1 , 17 , 2 , 0.7906976744186046
SAMME.R , 1 , 18 , 2 , 0.7807308970099668
SAMME.R , 1 , 19 , 2 , 0.7906976744186046
SAMME.R , 1 , 20 , 2 , 0.7807308970099668
SAMME.R , 1 , 21 , 2 , 0.7906976744186046
SAMME.R , 1 , 22 , 2 , 0.7807308970099668
SAMME.R , 1 , 23 , 2 , 0.7906976744186046
SAMME.R , 1 , 24 , 2 , 0.7807308970099668