num_estimators, max_features, min_sample_splits, min_samples_leaf, max_depth, accuracy 
1 , 2 , 2 , 2 , 3 , 0.8106312292358804
*
1 , 2 , 2 , 2 , 4 , 0.8073089700996677
1 , 2 , 2 , 2 , 5 , 0.8239202657807309
*
1 , 2 , 2 , 3 , 3 , 0.8106312292358804
1 , 2 , 2 , 3 , 4 , 0.8106312292358804
1 , 2 , 2 , 3 , 5 , 0.8272425249169435
*
1 , 2 , 2 , 4 , 3 , 0.8106312292358804
1 , 2 , 2 , 4 , 4 , 0.8106312292358804
1 , 2 , 2 , 4 , 5 , 0.8272425249169435
1 , 2 , 2 , 5 , 3 , 0.7906976744186046
1 , 2 , 2 , 5 , 4 , 0.8205980066445183
1 , 2 , 2 , 5 , 5 , 0.8039867109634552
1 , 3 , 2 , 2 , 3 , 0.8106312292358804
1 , 3 , 2 , 2 , 4 , 0.8006644518272426
1 , 3 , 2 , 2 , 5 , 0.7508305647840532
1 , 3 , 2 , 3 , 3 , 0.8106312292358804
1 , 3 , 2 , 3 , 4 , 0.8039867109634552
1 , 3 , 2 , 3 , 5 , 0.7840531561461794
1 , 3 , 2 , 4 , 3 , 0.8106312292358804
1 , 3 , 2 , 4 , 4 , 0.8039867109634552
1 , 3 , 2 , 4 , 5 , 0.7840531561461794
1 , 3 , 2 , 5 , 3 , 0.8239202657807309
1 , 3 , 2 , 5 , 4 , 0.8039867109634552
1 , 3 , 2 , 5 , 5 , 0.7774086378737541
2 , 2 , 2 , 2 , 3 , 0.8172757475083057
2 , 2 , 2 , 2 , 4 , 0.813953488372093
2 , 2 , 2 , 2 , 5 , 0.8272425249169435
2 , 2 , 2 , 3 , 3 , 0.8172757475083057
2 , 2 , 2 , 3 , 4 , 0.8172757475083057
2 , 2 , 2 , 3 , 5 , 0.8272425249169435
2 , 2 , 2 , 4 , 3 , 0.8172757475083057
2 , 2 , 2 , 4 , 4 , 0.8172757475083057
2 , 2 , 2 , 4 , 5 , 0.8272425249169435
2 , 2 , 2 , 5 , 3 , 0.8039867109634552
2 , 2 , 2 , 5 , 4 , 0.8205980066445183
2 , 2 , 2 , 5 , 5 , 0.8305647840531561
*
2 , 3 , 2 , 2 , 3 , 0.8172757475083057
2 , 3 , 2 , 2 , 4 , 0.813953488372093
2 , 3 , 2 , 2 , 5 , 0.8106312292358804
2 , 3 , 2 , 3 , 3 , 0.8172757475083057
2 , 3 , 2 , 3 , 4 , 0.813953488372093
2 , 3 , 2 , 3 , 5 , 0.8073089700996677
2 , 3 , 2 , 4 , 3 , 0.8172757475083057
2 , 3 , 2 , 4 , 4 , 0.813953488372093
2 , 3 , 2 , 4 , 5 , 0.813953488372093
2 , 3 , 2 , 5 , 3 , 0.8039867109634552
2 , 3 , 2 , 5 , 4 , 0.8239202657807309
2 , 3 , 2 , 5 , 5 , 0.7774086378737541
3 , 2 , 2 , 2 , 3 , 0.8106312292358804
3 , 2 , 2 , 2 , 4 , 0.8239202657807309
3 , 2 , 2 , 2 , 5 , 0.8172757475083057
3 , 2 , 2 , 3 , 3 , 0.8106312292358804
3 , 2 , 2 , 3 , 4 , 0.8039867109634552
3 , 2 , 2 , 3 , 5 , 0.8272425249169435
3 , 2 , 2 , 4 , 3 , 0.8106312292358804
3 , 2 , 2 , 4 , 4 , 0.8039867109634552
3 , 2 , 2 , 4 , 5 , 0.8305647840531561
3 , 2 , 2 , 5 , 3 , 0.7973421926910299
3 , 2 , 2 , 5 , 4 , 0.8205980066445183
3 , 2 , 2 , 5 , 5 , 0.8106312292358804
3 , 3 , 2 , 2 , 3 , 0.7973421926910299
3 , 3 , 2 , 2 , 4 , 0.8172757475083057
3 , 3 , 2 , 2 , 5 , 0.8205980066445183
3 , 3 , 2 , 3 , 3 , 0.7973421926910299
3 , 3 , 2 , 3 , 4 , 0.8172757475083057
3 , 3 , 2 , 3 , 5 , 0.8205980066445183
3 , 3 , 2 , 4 , 3 , 0.7973421926910299
3 , 3 , 2 , 4 , 4 , 0.8172757475083057
3 , 3 , 2 , 4 , 5 , 0.8205980066445183
3 , 3 , 2 , 5 , 3 , 0.8073089700996677
3 , 3 , 2 , 5 , 4 , 0.8073089700996677
3 , 3 , 2 , 5 , 5 , 0.8073089700996677
4 , 2 , 2 , 2 , 3 , 0.8239202657807309
4 , 2 , 2 , 2 , 4 , 0.8372093023255814
*
4 , 2 , 2 , 2 , 5 , 0.8338870431893688
4 , 2 , 2 , 3 , 3 , 0.8239202657807309
4 , 2 , 2 , 3 , 4 , 0.8272425249169435
4 , 2 , 2 , 3 , 5 , 0.8305647840531561
4 , 2 , 2 , 4 , 3 , 0.8239202657807309
4 , 2 , 2 , 4 , 4 , 0.8272425249169435
4 , 2 , 2 , 4 , 5 , 0.840531561461794
*
4 , 2 , 2 , 5 , 3 , 0.8106312292358804
4 , 2 , 2 , 5 , 4 , 0.8272425249169435
4 , 2 , 2 , 5 , 5 , 0.8106312292358804
4 , 3 , 2 , 2 , 3 , 0.7973421926910299
4 , 3 , 2 , 2 , 4 , 0.813953488372093
4 , 3 , 2 , 2 , 5 , 0.8205980066445183
4 , 3 , 2 , 3 , 3 , 0.7973421926910299
4 , 3 , 2 , 3 , 4 , 0.813953488372093
4 , 3 , 2 , 3 , 5 , 0.813953488372093
4 , 3 , 2 , 4 , 3 , 0.8039867109634552
4 , 3 , 2 , 4 , 4 , 0.813953488372093
4 , 3 , 2 , 4 , 5 , 0.8239202657807309
4 , 3 , 2 , 5 , 3 , 0.8073089700996677
4 , 3 , 2 , 5 , 4 , 0.8106312292358804
4 , 3 , 2 , 5 , 5 , 0.8172757475083057